;kappa score;ci low;ci high;se
Models and algorithms;0.7544080604534007;0.6611295681063123;0.8295155557171403;0.043799296585790896
Datasets;0.9085872576177285;0.8508412265986851;0.9586834492686466;0.02693227509661091
Code;0.9107142857142856;0.8581555228828095;0.9552635692653496;0.024408900450250164
Experimental results;0.8637248539909151;0.7883628490114345;0.9237465604814455;0.034346464136637646
Error bars or statistical significance;1.0;1.0;1.0;0.0
Code is or will be available;0.8688536840532057;0.7871294175816371;0.9293841996106301;0.03564644685157346
Statement;0.736981934112646;0.6559318571319132;0.8016924692419348;0.0354194364063925
Comments;0.8155936590100292;0.7600965730040111;0.8668190405362979;0.027383927536491246
Meta-categories;0.8014027898179528;0.7545918509976943;0.8694765613426324;0.02793575135601246
Repo provided;1.0;1.0;1.0;0.0
