id	category	title	words1	words2	words3
001	contribution	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction 	52	13	69
001	detailed	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction 	13	94	13
001	justifictation	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction 	34	6	54
001	repro	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction 	4	4	19
001	strenghts	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction 	36	31	45
001	total		180	174	307
001	weakness	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction 	41	26	107
002	contribution	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI 	20	40	69
002	detailed	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI 	20	36	72
002	justifictation	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI 	7	2	9
002	repro	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI 	15	14	6
002	strenghts	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI 	24	10	8
002	total		118	115	198
002	weakness	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI 	32	13	34
003	contribution	4D-OR: Semantic Scene Graphs for OR Domain Modeling 	40	147	56
003	detailed	4D-OR: Semantic Scene Graphs for OR Domain Modeling 	3	307	121
003	justifictation	4D-OR: Semantic Scene Graphs for OR Domain Modeling 	26	64	26
003	repro	4D-OR: Semantic Scene Graphs for OR Domain Modeling 	47	25	9
003	strenghts	4D-OR: Semantic Scene Graphs for OR Domain Modeling 	55	222	35
003	total		253	1044	297
003	weakness	4D-OR: Semantic Scene Graphs for OR Domain Modeling 	82	279	50
004	contribution	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000 	103	139	20
004	detailed	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000 	14	473	42
004	justifictation	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000 	3	42	22
004	repro	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000 	1	66	29
004	strenghts	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000 	37	63	44
004	total		164	813	172
004	weakness	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000 	6	30	15
005	contribution	A Deep-Discrete Learning Framework for Spherical Surface Registration 	22	72	44
005	detailed	A Deep-Discrete Learning Framework for Spherical Surface Registration 	375	103	83
005	justifictation	A Deep-Discrete Learning Framework for Spherical Surface Registration 	5	18	17
005	repro	A Deep-Discrete Learning Framework for Spherical Surface Registration 	5	1	38
005	strenghts	A Deep-Discrete Learning Framework for Spherical Surface Registration 	70	82	66
005	total		506	396	251
005	weakness	A Deep-Discrete Learning Framework for Spherical Surface Registration 	29	120	3
006	contribution	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation 	22	55	29
006	detailed	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation 	41	154	142
006	justifictation	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation 	9	48	20
006	repro	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation 	24	35	21
006	strenghts	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation 	56	98	32
006	total		276	634	255
006	weakness	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation 	124	244	11
007	contribution	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation 	23	76	114
007	detailed	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation 	42	60	376
007	justifictation	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation 	18	24	43
007	repro	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation 	6	59	19
007	strenghts	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation 	83	35	37
007	total		197	278	779
007	weakness	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation 	25	24	190
008	contribution	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis 	24	39	80
008	detailed	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis 	35	136	49
008	justifictation	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis 	28	36	39
008	repro	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis 	27	10	5
008	strenghts	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis 	41	83	42
008	total		312	410	263
008	weakness	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis 	157	106	48
009	contribution	A Medical Semantic-Assisted Transformer for Radiographic Report Generation 	87	55	52
009	detailed	A Medical Semantic-Assisted Transformer for Radiographic Report Generation 	71	28	84
009	justifictation	A Medical Semantic-Assisted Transformer for Radiographic Report Generation 	30	39	54
009	repro	A Medical Semantic-Assisted Transformer for Radiographic Report Generation 	18	24	21
009	strenghts	A Medical Semantic-Assisted Transformer for Radiographic Report Generation 	75	40	83
009	total		437	282	325
009	weakness	A Medical Semantic-Assisted Transformer for Radiographic Report Generation 	156	96	31
010	contribution	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images 	39	101	66
010	detailed	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images 	29	88	39
010	justifictation	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images 	44	85	33
010	repro	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images 	7	28	4
